Headline;Summary;Organization;Category;File format;Views;Tags;URL
Deklarētās preces;"Datu kopā satur informāciju par Latvijā noformētām eksporta un importa muitas deklarācijām par periodu no iepriekšējo divu gadu sākuma līdz pēdējā pilnā mēneša beigām.
Datnē iekļauta informācija par preču plūsmu sadalījumā pa muitas procedūrām, preču nodaļām, transporta veidiem un valstīm pēc statistiskās  vērtības un svara neto.";Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;CSV, ;960 skatījumi;Muita, muitas deklarācijas, ;https://data.gov.lv/dati/lv/dataset/deklaretas-preces
Aprēķinātie muitas administrējamie maksājumi;"Datu kopa satur informāciju par muitas deklarācijās aprēķinātiem muitas administrējamiem maksājumiem sadalījumā pa preču nodaļām un nosūtītājvalstīm. 
Datne par aprēķinātiem muitas administrējamiem maksājumiem satur informāciju par maksājumiem, ko iekasē muita (aprēķinātais muitas administrējamais PVN, aprēķinātais muitas nodoklis un aprēķinātais muitas administrējamais akcīzes nodoklis).
Informācijā iekļauti dati par preču laišanu brīvā apgrozībā periodā no iepriekšējo divu gadu sākuma līdz pēdējā pilnā mēneša beigām.";Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;CSV, ;462 skatījumi;Muita, muitas deklarācijas, ;https://data.gov.lv/dati/lv/dataset/aprekinatie-muitas-administrejamie-maksajumi
Uz robežas deklarētie skaidras naudas līdzekļi;"Iebraucot vai izbraucot no Latvijas Republikas uz Eiropas Savienības ārējās robežas fiziskām personām ir obligāti jādeklarē skaidras naudas līdzekļi, ja to apmērs ir 10 000 eiro vai vairāk. Šis noteikums ir spēkā kopš 2006.gada 1.jūlija.
Šajā datnē apkopota informācija no skaidras naudas deklarācijām, kas ir iesniegtas Latvijas Republikas muitas kontroles punktos un robežšķērsošanas vietās uz Eiropas Savienības ārējās robežas par periodu no iepriekšējo divu gadu sākuma līdz pēdējā pilnā mēneša beigām.
Datnē iekļauta informācija par iesniegto skaidras naudas deklarāciju skaitu un deklarētās skaidras naudas kopsummu (eiro) pa pārvietošanas transporta maršrutiem, gadiem, mēnešiem, deklarācijas veida, transporta veidiem, muitas kontroles punktiem, robežšķērsošanas vietām.";Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;CSV, DOCX, ;1009 skatījumi;Muita, Skaidras naudas dek..., ;https://data.gov.lv/dati/lv/dataset/uz-robezas-deklaretie-skaidras-naudas-lidzekli
TAPIS;Informācija no Teritorijas attīstības plānošanas informācijas sistēmas (TAPIS);Vides aizsardzības un reģionālās attīstības ministrija;Reģioni un pašvaldības, ;CSV, ;537 skatījumi;;https://data.gov.lv/dati/lv/dataset/tapis
TVP tīmekļvietņu saturs;Informācija no Tīmekļvietņu vienotajā platformā (TVP) izvietotājām tīmekļvietnēm - aktualitātes, notikumi, projekti, pakalpojumi, vakances, iestādes kontakti, iepirkumi.;Valsts kanceleja;Valsts pārvalde, ;CSV, ;732 skatījumi;Valsts pārvalde, ;https://data.gov.lv/dati/lv/dataset/tvp-saturs
COVID19 vakcinācijas;Datu kopa satur informāciju par vakcināciju pret COVID19. Tajā ietverta informācija par vakcināciju veikušo ārstniecības iestādi, vakcinācijas datumu, vakcīnas preparātu, vakcīnas sērijas numuru, vakcinācijas posmu, vakcīnas kārtas numuru, preparāta daudzumu ml, vakcīnas ievadīšanas veids un indikācijām vakcinācijai. Dati tiek izgūti no E-Veselības vakcinācijas datu modeļa. Dati tiek apkopoti katru darba dienu, par iepriekšējo periodu. Ja vakcinācijas dati E-Veselības vakcinācijas datu modelī, tiek pievadīti vēlāk vai laboti, tad atjaunojot datus mainās iepriekšējo datumu rādītāji.;Nacionālais veselības dienests;Veselība, ;XLSX, ;22661 skatījumi;covid-19, ;https://data.gov.lv/dati/lv/dataset/covid19-vakcinacijas
Vakances;Uzņēmumu un organizāciju izsludinātās aktuālās vakances Latvijas valsts sektorā.;Nodarbinātības Valsts Aģentūra;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;CSV, ;2646 skatījumi;te ir darbs, vakance, vakances, ;https://data.gov.lv/dati/lv/dataset/vakances
Patiesie labuma guvēji;"Ziņas par tiesību subjektu aktuālajiem patiesajiem labuma guvējiem (PLG) – fiziskajām personām.
Tiesiskais pamats fizisko personu datu publiskošanai  – likuma “Par Latvijas Republikas Uzņēmumu reģistru”  4.10 panta divpadsmitā daļa (spēkā ar 01.11.2020).
Kolonnu skaidrojumi:
id - Vienotais resursa identifikators
legal_entity_registration_number - Tiesību subjekta reģistrācijas numurs
forename - Vārds
surname - Uzvārds
latvian_identity_number_masked - Daļa no personas koda
birth_date - Dzimšanas datums (ja nav personas koda) formātā YYYY-MM
nationality - Valstspiederība (ISO 3166 Alpha-2 kods)
residence - Dzīvesvietas valsts (ISO 3166 Alpha-2 kods)
registered_on - Reģistrācijas datums
last_modified_at - Ieraksta pēdējās labošanas laiks";LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, ;723 skatījumi;patiesais labuma gu..., plg, ;https://data.gov.lv/dati/lv/dataset/patiesie-labuma-guveji
Maksātnespējas procesi;"Uzņēmumu reģistra Maksātnespējas reģistrā ierakstīto maksātnespējas un tiesiskās aizsardzības procesu informācija.
Maksātnespējas procesu atvērto datu lauku skaidrojumi – spied šeit.";LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, XLSX, ;311 skatījumi;maksātnespējas process, ;https://data.gov.lv/dati/lv/dataset/maksatnespejas-procesi
Tiesību subjektu vēsturiskie nosaukumi;"Uzņēmumu reģistrā reģistrēto tiesību subjektu vēsturiskie nosaukumi.
Kolonnu skaidrojumi:
regcode – Subjekta vienotais reģistrācijas numurs. Ja tam tāds netiek piešķirts, tad ir 9 zīmju reģistrācijas kods
date_to – Datums, līdz kuram subjektam bija spēkā šis nosaukums
name – Nosaukums";LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, XLSX, ;129 skatījumi;vēsturiskie nosaukumi, ;https://data.gov.lv/dati/lv/dataset/tiesibu-subjektu-vesturiskie-nosaukumi
Biedrību un nodibinājumu darbības jomas;"Uzņēmumu reģistrā reģistrēto biedrību un nodibinājumu darbības jomas atbilstoši Ministru Kabineta noteiktajai klasifikācijai.
Kolonnu skaidrojumi:
regcode – Subjekta vienotais reģistrācijas numurs. Ja tam tāds netiek piešķirts, tad ir 9 zīmju reģistrācijas kods
name – Nosaukums
type – Tiesību subjekta veids (BDR – biedrība, NOD – nodibinājums)
area_of_activity – Darbības joma, ja norādīts";LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, XLSX, ;255 skatījumi;darbību jomas, ;https://data.gov.lv/dati/lv/dataset/biedribu-un-nodibinajumu-darbibas-jomas
Dati par sabiedrību ar ierobežotu atbildību dalībniekiem;Dati par sabiedrību ar ierobežotu atbildību dalībniekiem.;LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, ;302 skatījumi;dalībnieki, ;https://data.gov.lv/dati/lv/dataset/members
Tiesību subjekta valdes locekļu, pārstāvēttiesīgo biedru vai citu pārstāvēttiesīgo amatpersonu dati;Tiesību subjekta valdes locekļu, pārstāvēttiesīgo biedru vai citu pārstāvēttiesīgo amatpersonu dati.;LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, ;157 skatījumi;amatpersonas, ;https://data.gov.lv/dati/lv/dataset/officers
Gada pārskatu finanšu dati;"Finanšu datu informācija no Valsts ieņēmumu dienestā iesniegtajiem gada pārskatiem, kas Uzņēmumu reģistram tiek nodoti publiskošanai. Datu kopa satur informāciju no uzņēmumu, konsolidētajiem uzņēmumu un biedrību, nodibinājumu un arodbiedrību gada pārskatiem: pamatinformāciju (gada pārskata veids, gads, vidējais darbinieku skaits), bilances, peļņas/ zaudējumu aprēķina un naudas plūsmas pārskata datus.
Gada pārskatu finanšu informācijas atvērto datu lauku skaidrojumi - spied šeit.";LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, ;2128 skatījumi;Finanšu dati, Gada pārskatu finan..., Uzņēmumu reģistrs, ;https://data.gov.lv/dati/lv/dataset/gada-parskatu-finansu-dati
Publisko personu un iestāžu saraksts;Publisko personu un iestāžu sarakstā iekļauta informācija par Saeimu un Valsts prezidenta kanceleju, tiesām un prokuratūrām, tiešajām pārvaldes iestādēm, atvasinātām publiskām personām, pastarpinātām pārvaldes iestādēm , kā arī citām valsts institūcijām, kas nav padotas Ministru kabinetam. Tādējādi Sarakstā tiks apkopota informācija par visām valsts iestādēm (t.sk. pašvaldībām).;LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;CSV, ;2943 skatījumi;ppi, publisko personu un..., publiskā persona va..., ;https://data.gov.lv/dati/lv/dataset/public-persons-institutions
Uzņēmumu reģistrs;"Uzņēmumu reģistrs sabiedrībai piedāvā datus lietotājiem ērtā veidā par visiem Uzņēmumu reģistrā reģistrētajiem subjektiem. Uzņēmumu reģistrs piedāvātos datus aktualizē katru dienu.  Uzņēmumu reģistra piedāvātie dati, kas ietverti failā: tiesību subjekta veids; juridiskā adrese; aktuālais nosaukums; reģistrācijas numurs; vienotās euro maksājumu telpas maksājuma saņēmēja identifikators (ja tāds ir piešķirts); reģistrācijas datums; datums, kad tiesību subjekts izslēgts no reģistra (vai reorganizācijas datums, ja tiesību subjekta izslēgšanas iemesls ir reorganizācija); to reliģisko organizāciju reģistrācijas termiņš, kuras veic pārreģistrāciju.";LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;CSV, ;5013 skatījumi;Uzņēmumu reģistrs, ;https://data.gov.lv/dati/lv/dataset/uz
Stacionāru operatīvie dati par COVID-19;"Datu kopā uzkrājoši tiek ievietota slimnīcu ikdienas sniegtā operatīva informācija par  stacionārā esošos pacientu skaitu ar COVID-19 infekciju un to slimības gaitu par iepriekšējās diennakts laika periodu 00:00 - 23:59 . Kā arī izrakstīto pacientu skaits, kas stacionārā ārstējušies ar apstiprinātu COVID-19, kuri sākot no COVID-19 infekcijas sākuma līdz iepriekšējās diennakts 23:59 ir izrakstīti uz mājām ambulatorai ģimenes ārsta uzraudzībai, pārvesti uz citu slimnīcu vai miruši.
Ārstniecības iestādes sniedz šos datus par iepriekšējo diennakti, respektīvi, 2021. gada 1. janvāra atskaites dati raksturo situāciju 2020. gada 31. decembrī.";Nacionālais veselības dienests;Cits;XLSX, ;5742 skatījumi;covid-19, medicīnas pakalpoju..., veselības aprūpe, ;https://data.gov.lv/dati/lv/dataset/stacionaru-operativie-dati-par-covid19
COVID-19 apstiprināto gadījumu skaits un 14 dienu kumulatīvā saslimstība pa administratīvajām teritorijām;"Slimību profilakses un kontroles centram iesniegtā operatīvā informācija  par apstiprinātajiem COVID-19 gadījumiem.
Dati tiek apkopoti reizi dienā no laboratorijām un ārstniecības personām.
Iepriekš publicētie dati sadalījumā pa administratīvajām teritorijām var tikt aktualizēti atbilstoši precizētai informācijai par personas dzīvesvietu. 
No 21.05.2020. līdz 18.10.2020. ir pieejami dati par aktīvo gadījumu skaitu.
No 18.10.2020. tiek publicēti dati par 14 dienu kumulatīvo saslimstību - personu skaits, kurām pēdējās 14 dienās konstatēta Covid-19 infekcija.";Slimību profilakses un kontroles centrs;Veselība, ;CSV, JSON, ;42520 skatījumi;covid-19, infekcijas slimība, novads, republikas pilsēta, ;https://data.gov.lv/dati/lv/dataset/covid-19-pa-adm-terit
Mazo kuģu un laivu kustības uz/no ostas uzskaites informācija;Mazo kuģu un laivu kustības uz/no ostas uzskaites informācija;Satiksmes ministrija;Cits;CSV, XLSX, ;16 skatījumi;kuģi, ;https://data.gov.lv/dati/lv/dataset/mazo-kugu-un-laivu-kustibas-uz-no-ostas-uzskaites-informacija
Pasažieru pārvadājumu statistika (pārvadājumiem ar jūras transportu);Pasažieru pārvadājumu statistika (pārvadājumiem ar jūras transportu);Satiksmes ministrija;Cits;CSV, ;7 skatījumi;;https://data.gov.lv/dati/lv/dataset/pasazieru-parvadajumu-statistika-parvadajumiem-ar-juras-transportu
Ar jūras pārvadājumiem un ostas formalitātēm saistīto formalitāšu statistika;Ar jūras pārvadājumiem un ostas formalitātēm saistīto formalitāšu (dokumentācijas) statistika (dokumentu veidi, apjomi);Satiksmes ministrija;Cits;CSV, ;9 skatījumi;vizītes, ;https://data.gov.lv/dati/lv/dataset/ar-juras-parvadajumiem-un-ostas-formalitatem-saistito-formalitasu-statistika
Darba devēji, kuru darbinieku vidējais mēneša atalgojums ir valstī noteiktās minimālās mēneša darba algas apmērā vai mazāks;Darba devēji, kuru darbinieku vidējais mēneša atalgojums ir valstī noteiktās minimālās mēneša darba algas apmērā vai mazāks;Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, ;CSV, ;183 skatījumi;PDB_DD_MinAlgasMaks..., ;https://data.gov.lv/dati/lv/dataset/pdb_dd_minalgasmaksataji_odata
Iepirkumu rezultāti (e-konkursi);Informācija par Elektronisko iepirkumu sistēmā publicētājiem līgumiem;Valsts reģionālās attīstības aģentūra;Valsts pārvalde, ;CSV, ;2243 skatījumi;EIS, Eis, eis, iepirkumi, līgumi, rezultāti, ;https://data.gov.lv/dati/lv/dataset/iepirkumu-rezultatu-datu-grupa
Iepirkumu grozījumi (e-konkursi);Informācija par Elektronisko iepirkumu sistēmā publicēto iepirkumu grozījumiem;Valsts reģionālās attīstības aģentūra;Valsts pārvalde, ;CSV, ;801 skatījumi;EIS, EIs, Eis, eis, grozījumi, iepirkumi, ;https://data.gov.lv/dati/lv/dataset/iepirkumu-grozijumu-datu-grupa
Izsludinātie iepirkumi (e-konkursi);Informācija par Elektronisko iepirkumu sistēmā publicētājiem iepirkumiem;Valsts reģionālās attīstības aģentūra;Valsts pārvalde, ;CSV, ;2130 skatījumi;EIS, Eis, eis, iepirkumi, ;https://data.gov.lv/dati/lv/dataset/izsludinato-iepirkumu-datu-grupa
Piegāžu datu grupa;Informācija par Elektronisko iepirkumu sistēmā noslēgtajiem darījumiem;Valsts reģionālās attīstības aģentūra;Valsts pārvalde, ;CSV, ;6566 skatījumi;EIS, Eis, eis, ;https://data.gov.lv/dati/lv/dataset/piegazu-datu-grupa
Pasūtītāju datu grupa;Informācija par Elektronisko iepirkumu reģistrētajiem pasūtītājiem;Valsts reģionālās attīstības aģentūra;Valsts pārvalde, ;CSV, ;634 skatījumi;EIS, Eis, eis, iepirkumi, ;https://data.gov.lv/dati/lv/dataset/pasutitaju-datu-grupa
Bloķētie domēni;Pamatojoties uz Azartspēļu un izložu likuma 1. panta trešo un sesto punktu, 2. panta pirmo daļu, 3. panta pirmo daļu, 46. panta otro daļu un 81. pantu, Elektronisko sakaru likuma 13.1 panta pirmo daļu, 19. panta pirmās daļas 22.punktu pieņemts lēmums ierobežot (bloķēt) piekļuvi Latvijas Republikā nelicencētu interaktīvo azartspēļu organizētāju mājaslapām.;Izložu un azartspēļu uzraudzības inspekcija;Cits;XLSX, ;99 skatījumi;azartspēles, bloķētie domēni, ;https://data.gov.lv/dati/lv/dataset/bloketie-domeni
Medikamenti, kas satur dopinga vielas;"Apkopotas atsauces uz Latvijas Zāļu reģistrā iekļautiem medikamentiem (pēc reģistrācijas numura), kuri satur Pasaules Antidopinga aģentūras izdotajā Aizliegto vielu un metožu sarakstā iekļautas vielas vai kurus ievada, izmantojot sarakstā iekļautu metodi.
Sarakstā ir iekļauti Latvijā reģistrētie medikamenti (kopš 2018.gada 1.novembra), ieskaitot Latvijas Zāļu reģistrā izslēgtos medikamentus (Latvijas Zāļu reģistra tīmekļvietnē izslēgtie medikamenti netiek attainoti).
Saite uz Aizliegto vielu sarakstu (dokumentam latviešu valodā skatīt ""Other languages"") - https://www.wada-ama.org/en/resources/science-medicine/prohibited-list-documents.";Latvijas Antidopinga birojs;Izglītība un sports, Veselība, ;CSV, ;1337 skatījumi;antidopings, dopings, sports, zāles, ;https://data.gov.lv/dati/lv/dataset/medikamenti-kas-satur-dopinga-vielas
Valstu saslimstības rādītāji ar COVID-19;"Informācija par valstu saslimstības rādītājiem ar COVID-19 un ieteikumi ceļotājiem – rekomendācijas par izceļošanu un pašizolācijas ievērošanu, atgriežoties Latvijā.
Dati tiek aktualizēti reizi nedēļā (piektdienā).";Slimību profilakses un kontroles centrs;Veselība, ;CSV, JSON, ;3827 skatījumi;covid-19, izceļošana, pašizolācija, valstis, valsts, ;https://data.gov.lv/dati/lv/dataset/valstu-saslimstibas-raditaji-ar-covid-19
Augu šķirņu saimniecisko īpašibu novērtešana;Datu kopa ietver Latvijā veiktās augu šķirņu saimniecisko īpašīu novērtēšanas (SĪN) rezultātus. SĪN veic, lai novērtētu šķirnes atbilstību audzēšanai Latvijas apstakļos, pirms iekļaušanas Latvijas augu šķirņu katalogā.;Valsts augu aizsardzības dienests;Valsts pārvalde, Zemkopība, pārtika un mežsaimniecība, ;XLSX, ZIP, ;168 skatījumi;Latvijas augu šķirņ..., SĪN, augu šķirne, augu šķirņu katalogs, bioloģisks, kartupeļi, konvencionāls, labības, sēklas, šķirnes, šķirnu novērtēšana, ;https://data.gov.lv/dati/lv/dataset/augu-skirnu-saimniecisko-ipasibu-novertesana
Informācija par Saeimas sēdēm;"Informācija par Saeimas sēdēm:

darba kārtība,
debašu informācija,
balsojumi.";Latvijas Republikas Saeima;Valsts pārvalde, ;XML, ;14077 skatījumi;;https://data.gov.lv/dati/lv/dataset/saeimas-sedes
Vidējās darījumu cenas savrupmājām;"Dati apkopoti par darījumiem ar savrupmājām, kas Kadastra informācijas sistēmā ir reģistrētas ar ēkas tipa kodu 11100102 “Individuālās dzīvojamās mājas un vasarnīcas ar koka ārsienām un dārza mājas ar kopējo platību, lielāku par 40 m2” un 11100103 “Individuālās dzīvojamās mājas un vasarnīcas ar mūra vai mūra–koka ārsienām”. Vidējās savrupmāju darījumu cenas tiek attēlotas EUR un aprēķinātas kā statistiskais rādītājs mediāna (vidējā vērtība sakārtotā skaitļu kopā).
Vidējās darījumu cenas atspoguļotas pa teritoriju grupām:

individuālajām dzīvojamām ēkām (savrupmājām), kas būvētas pirms 2000. gada – reģionu griezumā pēc vērtību līmeņa salīdzināmās teritorijās (mazpilsētas kopā ar lauku teritorijām un pilsētas), republikas pilsētās (izņemot Rīgu un Jūrmalu), Jūrmalā; Rīgā (pa teritoriju grupām ar vidēju un zemāku vērtību līmeni)
jaunām individuālajām dzīvojamām ēkām (savrupmājām), kas būvētas pēc 2000. gada * Jūrmalā, Rīgā (pa teritoriju grupām ar vidēju un zemāku vērtību līmeni).

Statistiskajos aprēķinos izmantoti darījumi, kas atbilst šādiem kritērijiem: 

Savrupmājas, kas būvētas pirms 2000. gada, ar fizisko nolietojumu mazāku par 62%, ar platību Rīgā no 80 līdz 250 m2, Jūrmalā – virs 100 m2, republikas pilsētās – no 50 līdz 250 m2, reģionu pilsētās, mazpilsētās kopā ar lauku teritorijām – no 50 līdz 150 m2, ar zemes platību Rīgā un Jūrmalā no 500 līdz 4000 m2, pārējā teritorijā – no 500 līdz 2500 m2. 
Jaunas savrupmājas, kas būvēta pēc 2000.gada, ar fizisko nolietojumu mazāku par 30%, platību virs 150 m2 un zemes platību no 500 līdz 4000 m2.";Valsts zemes dienests;Cits;CSV, ;43 skatījumi;VZD, Valsts zemes dienests, kadastrālā vērtēšana, kadastrālā vērtība, nekustamā īpašuma t..., ;https://data.gov.lv/dati/lv/dataset/videjas-darijumu-cenas-savrupmajam
Pedagogu skaits pa amatiem pirmsskolas izglītības iestādēs, vispārējās pamata un vidējās izglītības iestādēs, profesionālās pamata un vidējās izglītības iestādēs un koledžās izglītības iestāžu griezumā;"Dati tiek attēloti par izglītības iestādēm ar veidu ""Vispārējās izglītības iestāde"", ""Speciālās izglītības iestāde, ""Pirmsskolas izglītības iestāde"", ""Profesionālās pamata un vidējās izglītības iestāde"" un ""Augstākās izglītības iestāde"" ar tipu ""Koledža"". Tāpat jāņem vērā, ka tiek attēlots pedagoģiskais personāls, kuram uz atskaites datumu tarificētais darba likmju skaits ir lielāks par ""0"". Atskaitē norādīts pedagoģiskā personāla skaits atbilstoši izglītības iestādes juridiskajai adresei. Piemēram, izglītības iestādei, kuras juridiskā adrese ir Rīgā, bet kurai ir arī struktūrvienība Valmierā, pedagoģiskais personāls tiek attēlots pie Rīgas. Kolonnā ""Pedagogu skaits (unikālie PK)"" persona tiek uzskaitīta vienu reizi, savukārt kolonnā ""Personu skaits pa pedagoģiskajiem amatiem"" tiek rādīts personas amatu kopskaits, piemēram, ja persona strādā trīs amatos, tad kolonnā ""Pedagogu skaits (unikālie PK)"" persona tiek uzskaitīta vienu reizi, savukārt kolonnā ""Personu skaits pa pedagoģiskajiem amatiem"" tiek rādīts šo amatu kopskaits, t.i., trīs.
Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLSX, ;31 skatījumi;Amati, IZM, Izglītība, Izglītības iestāde, Izglītības un zināt..., Mācībspēki, Pedagogi, Pedagoģija, Pedagoģiskais perso..., Skola, Skolotāji, ;https://data.gov.lv/dati/lv/dataset/pedagogu-skaits-pa-amatiem-vispareja-un-profesionala-izglitiba
Statistika par latvija.lv epakalpojumiem;Statistikas dati par latvija.lv pieejamajiem e-pakalpojumiem;Valsts reģionālās attīstības aģentūra;Valsts pārvalde, Veselība, ;CSV, ;1158 skatījumi;e-pakalpojumi, latvija.lv, ;https://data.gov.lv/dati/lv/dataset/statistika-par-latvija-lv-e-pakalpojumiem
Ceļu meteo staciju vēsturiskie dati 2001-2020 gadi.;Meteo stacijas, Meteo dati;"VSIA ""Latvijas Valsts ceļi""";Cits;CSV, DOCX, ;270 skatījumi;laikapstākļi, ;https://data.gov.lv/dati/lv/dataset/celu-meteo-staciju-vesturiskie-dati-2001-2019-gadi
Izglītojamo skaits profesionālās izglītības programmās;"Izglītojamo skaits profesionālās izglītības programmās (izņemot profesionālās pilnveides un profesionālās tālākizglītības programmas, un pie speciālās izglītības iestādēm īstenotās profesionālās izglītības programmas). Precīzu atskaites datumu skatīt pie attiecīgā resursa.
Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLS, XLSX, ;302 skatījumi;2020, 2021, Audzēkņi, IZM, Izglītojamie, Izglītība, Izglītības un zināt..., Koledža, Profesionālā, Profesionālā izglītība, Tehnikums, izglītības iestādes, klasifikācija, kods, kurss, pašvaldības, profesionālā pamati..., programmas, skolas, skolēni, skolēnu skaits, statistika, vidējā izglītība, ;https://data.gov.lv/dati/lv/dataset/izglitojamo-skaits-profesionalas-izglitibas-programmas
Izglītojamo skaits sadalījumā pa vispārējās izglītības programmām;"Atskaitē redzams izglītojamo skaits vispārējās izglītības programmās, t.i., pirmsskolas izglītības programmās un vispārējās pamata un vidējās izglītības programmās (1.-12.klase). Informācija iekļauta neatkarīgi no izglītības iestādes veida, kurā izglītības programmas tiek īstenotas. Failā pievienota arī informācija par izglītības iestādes pašvaldību, veidu, tipu, pakļautību un dibinātāju.
Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLS, XLSX, ;32 skatījumi;2020, 2021, Bērnu skaits, Bērnudārzi, IZM, Izglītības un zināt..., Klase, Speciālā izglītība, Vispārējā izglītība, bērni, grupiņas, izglītojamie, izglītība, izglītības iestādes, kods, pašvaldības, pirmsskolas, privātās pirmsskolas, programmas, skaits, skolas, skolēni, skolēnu skaits, statistika, ;https://data.gov.lv/dati/lv/dataset/izglitojamo-skaits-sadalijuma-pa-visparejas-izglitibas-programmam
